Date,Volume BTC
2020-01-08 00:00:00,1533.19
2020-01-09 00:00:00,1280.13
2020-01-10 00:00:00,704.07
2020-01-11 00:00:00,874.09
2020-01-12 00:00:00,389.26
2020-01-13 00:00:00,223.86
2020-01-14 00:00:00,941.94
2020-01-15 00:00:00,1821.71
2020-01-16 00:00:00,1201.57
2020-01-17 00:00:00,790.49
2020-01-18 00:00:00,1117.48
2020-01-19 00:00:00,503.93
2020-01-20 00:00:00,650.8
2020-01-21 00:00:00,700.7
2020-01-22 00:00:00,564.98
2020-01-23 00:00:00,616.12
2020-01-24 00:00:00,791.46
2020-01-25 00:00:00,639.62
2020-01-26 00:00:00,188.52
2020-01-27 00:00:00,289.35
2020-01-28 00:00:00,1291.5
2020-01-29 00:00:00,1471.35
2020-01-30 00:00:00,1099.1
2020-01-31 00:00:00,1501.38
2020-02-01 00:00:00,992.37
2020-02-02 00:00:00,268.88
2020-02-03 00:00:00,454.17
2020-02-04 00:00:00,764.32
2020-02-05 00:00:00,719.49
2020-02-06 00:00:00,1332.1
2020-02-07 00:00:00,985.74
2020-02-08 00:00:00,989.39
2020-02-09 00:00:00,392.4
2020-02-10 00:00:00,568.89
2020-02-11 00:00:00,1166.51
2020-02-12 00:00:00,1298.86
2020-02-13 00:00:00,1063.34
2020-02-14 00:00:00,1055.23
2020-02-15 00:00:00,725.68
2020-02-16 00:00:00,643.85
2020-02-17 00:00:00,358.15
2020-02-18 00:00:00,815.81
2020-02-19 00:00:00,1040.53
2020-02-20 00:00:00,1147.23
2020-02-21 00:00:00,675.9
2020-02-22 00:00:00,469.45
2020-02-23 00:00:00,137.98
2020-02-24 00:00:00,283.06
2020-02-25 00:00:00,196.75
2020-02-26 00:00:00,408.97
2020-02-27 00:00:00,1183.23
2020-02-28 00:00:00,846.89
2020-02-29 00:00:00,871.45
2020-03-01 00:00:00,205.65
2020-03-02 00:00:00,250.37
2020-03-03 00:00:00,836.75
2020-03-04 00:00:00,824.85
2020-03-05 00:00:00,725.27
2020-03-06 00:00:00,1175.39
2020-03-07 00:00:00,754.05
2020-03-08 00:00:00,298.82
2020-03-09 00:00:00,758.96
2020-03-10 00:00:00,1687.64
2020-03-11 00:00:00,1240.95
2020-03-12 00:00:00,1078.3
2020-03-13 00:00:00,4095.46
2020-03-14 00:00:00,3466.77
2020-03-15 00:00:00,895.53
2020-03-16 00:00:00,661.55
2020-03-17 00:00:00,2731.86
2020-03-18 00:00:00,1465.71
2020-03-19 00:00:00,1695.25
2020-03-20 00:00:00,2627.53
2020-03-21 00:00:00,2509.61
2020-03-22 00:00:00,606.22
2020-03-23 00:00:00,633.13
2020-03-24 00:00:00,1338.98
2020-03-25 00:00:00,1250.84
2020-03-26 00:00:00,1068.78
2020-03-27 00:00:00,854.05
2020-03-28 00:00:00,1250.7
2020-03-29 00:00:00,532.78
2020-03-30 00:00:00,470.45
2020-03-31 00:00:00,1281.6
2020-04-01 00:00:00,1334.62
2020-04-02 00:00:00,1488.59
2020-04-03 00:00:00,2016.64
2020-04-04 00:00:00,1170.33
2020-04-05 00:00:00,375.29
2020-04-06 00:00:00,352.38
2020-04-07 00:00:00,1855.04
2020-04-08 00:00:00,1205.82
2020-04-09 00:00:00,960.47
2020-04-10 00:00:00,787.97
2020-04-11 00:00:00,960.14
2020-04-12 00:00:00,328.6
2020-04-13 00:00:00,580.92
2020-04-14 00:00:00,871.8
2020-04-15 00:00:00,591.83
2020-04-16 00:00:00,1180.28
2020-04-17 00:00:00,1422.91
2020-04-18 00:00:00,612.72
2020-04-19 00:00:00,282.37
2020-04-20 00:00:00,168.81
2020-04-21 00:00:00,895.53
2020-04-22 00:00:00,313.2
2020-04-23 00:00:00,1131.48
2020-04-24 00:00:00,1986.05
2020-04-25 00:00:00,1683.82
2020-04-26 00:00:00,460.95
2020-04-27 00:00:00,392.33
2020-04-28 00:00:00,1425.05
2020-04-29 00:00:00,1177.2
2020-04-30 00:00:00,2579.94
2020-05-01 00:00:00,2512.11
2020-05-02 00:00:00,651.93
2020-05-03 00:00:00,933.77
2020-05-04 00:00:00,538.38
2020-05-05 00:00:00,1389.07
2020-05-06 00:00:00,1181.34
2020-05-07 00:00:00,2049.86
2020-05-08 00:00:00,3472.37
2020-05-09 00:00:00,2829.6
2020-05-10 00:00:00,2119.18
2020-05-11 00:00:00,1263.31
2020-05-12 00:00:00,2931.76
2020-05-13 00:00:00,1526.61
2020-05-14 00:00:00,1869.57
2020-05-15 00:00:00,2311.54
2020-05-16 00:00:00,1408.4
2020-05-17 00:00:00,422.12
2020-05-18 00:00:00,1118.2
2020-05-19 00:00:00,1119.19
2020-05-20 00:00:00,1072.25
2020-05-21 00:00:00,1344.41
2020-05-22 00:00:00,2012.06
2020-05-23 00:00:00,1123.21
2020-05-24 00:00:00,317.29
2020-05-25 00:00:00,702.44
2020-05-26 00:00:00,1160.82
2020-05-27 00:00:00,1078.84
2020-05-28 00:00:00,935.92
2020-05-29 00:00:00,1245.02
2020-05-30 00:00:00,931.8
2020-05-31 00:00:00,588.32
2020-06-01 00:00:00,401.69
2020-06-02 00:00:00,1572.79
2020-06-03 00:00:00,1644.32
2020-06-04 00:00:00,1387.89
2020-06-05 00:00:00,750.28
2020-06-06 00:00:00,1192.87
2020-06-07 00:00:00,357.04
2020-06-08 00:00:00,468.8
2020-06-09 00:00:00,1097.22
2020-06-10 00:00:00,847.02
2020-06-11 00:00:00,1011.8
2020-06-12 00:00:00,1066.15
2020-06-13 00:00:00,972.05
2020-06-14 00:00:00,319.99
2020-06-15 00:00:00,373.02
2020-06-16 00:00:00,1137.6
2020-06-17 00:00:00,729.41
2020-06-18 00:00:00,695.24
2020-06-19 00:00:00,984.51
2020-06-20 00:00:00,732.35
2020-06-21 00:00:00,135.15
2020-06-22 00:00:00,92.78
2020-06-23 00:00:00,749.51
2020-06-24 00:00:00,734.52
2020-06-25 00:00:00,911.8
2020-06-26 00:00:00,823.42
2020-06-27 00:00:00,705.79
2020-06-28 00:00:00,250.62
2020-06-29 00:00:00,204.04
2020-06-30 00:00:00,667.32
2020-07-01 00:00:00,865.38
2020-07-02 00:00:00,854.72
2020-07-03 00:00:00,1146.94
2020-07-04 00:00:00,686.92
2020-07-05 00:00:00,103.35
2020-07-06 00:00:00,211.79
2020-07-07 00:00:00,803
2020-07-08 00:00:00,907.13
2020-07-09 00:00:00,1051.26
2020-07-10 00:00:00,809.29
2020-07-11 00:00:00,676.23
2020-07-12 00:00:00,259.4
2020-07-13 00:00:00,192.83
2020-07-14 00:00:00,675.53
2020-07-15 00:00:00,917.68
2020-07-16 00:00:00,759.77
2020-07-17 00:00:00,1099.13
2020-07-18 00:00:00,645.6
2020-07-19 00:00:00,286.53
2020-07-20 00:00:00,258.78
2020-07-21 00:00:00,601.97
2020-07-22 00:00:00,909.88
2020-07-23 00:00:00,901.07
2020-07-24 00:00:00,1077.89
2020-07-25 00:00:00,738.38
2020-07-26 00:00:00,495.24
2020-07-27 00:00:00,743.63
2020-07-28 00:00:00,3255.55
2020-07-29 00:00:00,1377.84
2020-07-30 00:00:00,1739.05
2020-07-31 00:00:00,916.38
2020-08-01 00:00:00,1557.67
2020-08-02 00:00:00,1149.37
2020-08-03 00:00:00,1334.47
2020-08-04 00:00:00,1145.91
2020-08-05 00:00:00,747.2
2020-08-06 00:00:00,1366.17
2020-08-07 00:00:00,1132.74
